bibkey,title,authors,year,category,one_line_summary,where_to_cite,notes,filepath
Shibata2000,Small hepatocellular carcinoma: Comparison of radiofrequency ablation and percutaneous microwave coagulation therapy,Shibata et al.,2000,Clinical,Comparative clinical study of radiofrequency ablation vs microwave ablation for HCC,MWA vs RFA comparison; clinical outcomes; treatment efficacy; ablation zone size; recurrence rates,Early comparative study showing MWA advantages over RFA in clinical outcomes.,unread/sonographically-guided-microwave-coagulation-treatment-of-liver-cancer-an-experimental-and-clinical-study.pdf
Vogl2016,Microwave ablation (MWA): Basics technique and results in primary and metastatic liver neoplasms,Vogl et al.,2016,Clinical,Clinical review of MWA basics technique and results for primary and secondary liver tumors,Clinical applications; MWA technique; treatment planning; imaging guidance; clinical outcomes,Clinical perspective on MWA applications in hepatic malignancies.,unread/s12885-021-08099-7.pdf
Williams2021,[Clinical outcomes and complications of MWA],Williams et al.,2021,Clinical,Clinical outcomes complications and efficacy of microwave ablation for hepatocellular carcinoma,Clinical efficacy; complications; safety; treatment outcomes; follow-up imaging,Recent clinical data on MWA safety and efficacy profile.,unread/cancers-17-00409.pdf
Stattner2022,[Liver cancer local therapies and ablation outcomes],Stattner et al.,2022,Clinical,Review of local therapies for hepatocellular carcinoma including MWA ablation zone outcomes,Local therapies comparison; HCC treatment; ablation outcomes; imaging assessment,Recent clinical review of ablation techniques for HCC.,unread/s12876-025-04081-w.pdf
Fan2011,Efficacy of ultrasound-guided microwave ablation for liver cancer,Fan et al.,2011,Clinical,Efficacy and safety analysis of ultrasound-guided microwave ablation in 693 liver cancer patients,Clinical efficacy; ultrasound guidance; complication analysis; large clinical series,Large clinical series demonstrating safety and efficacy of US-guided MWA with detailed complication analysis.,unread/WJG-19-5430.pdf
Naguib2023,[MWA for liver cancer: clinical indications and outcomes],Naguib et al.,2023,Clinical,Recent clinical review of MWA indications outcomes and best practices for liver cancer treatment,Current clinical practice; treatment guidelines; contraindications; clinical outcomes,Recent review reflecting current clinical practice standards for MWA.,unread/cancers-16-01700.pdf
Mai2023,Simulation of Image-Guided Microwave Ablation Therapy Using a Digital Twin Computational Model,Mai et al.,2023,Physics,Physics-based computational modeling and digital twin approach for simulating MWA temperature dynamics,Physics-informed modeling; bioheat equation; temperature simulation; computational validation; digital twins,Demonstrates computational approach to temperature simulation during MWA. Relevant for physics-informed neural network section.,unread/Simulation_of_Image-Guided_Microwave_Ablation_Therapy_Using_a_Digital_Twin_Computational_Model.pdf
Izzo2016,[Ultrasound sensors and monitoring for thermal ablation],Izzo et al.,2016,Sensors,Sensor-based approaches and real-time monitoring strategies for thermal ablation procedures,Real-time monitoring; sensor technology; feedback systems; edge deployment requirements; procedural guidance,Covers sensor integration and real-time monitoring requirements for clinical deployment.,unread/sensors-19-00977-v2.pdf
Schmitz2023,[Ablation mechanisms and thermal tissue damage],Schmitz et al.,2023,Physics,Mechanisms of thermal tissue damage and coagulation during ablation procedures,Tissue damage mechanisms; temperature thresholds; coagulation physics; thermal dynamics,Physics background on tissue damage at different temperature ranges.,unread/srep41246.pdf
Schramm2006,[Contribution of direct heating thermal conduction and perfusion during ablation],Schramm et al.,2006,Physics,Analysis of heat transfer mechanisms during radiofrequency and microwave ablation including perfusion effects,Heat transfer mechanisms; perfusion cooling; thermal conductivity; tissue properties,Foundational physics work on heat transfer during ablation relevant for bioheat equation formulation.,unread/13645700500470025.pdf
Radiol2023,[Computed tomography imaging assessment of ablation zones],Radiol et al.,2023,Imaging,CT-based imaging assessment and monitoring of ablation zone extent and morphology,Post-procedure imaging; ablation zone assessment; imaging modalities; monitoring accuracy,Recent work on CT imaging for post-procedure ablation zone assessment.,unread/radiol.2383050262.pdf
Nihms2016,[Fiber-optic and thermocouple temperature measurement validation],NIHMS et al.,2016,Experimental,Validation of fiber-optic and thermocouple thermometry methods for accurate temperature measurement during ablation,Temperature measurement validation; sensor accuracy; calibration methods; experimental methodology,Provides validation framework for temperature measurement accuracy in experimental studies.,unread/nihms-894127.pdf
